Name,Tons Delivered,Tons Sold,Method,CDR_Link,Company_Link,location,geo_address
InterEarth,0,30 088,Biomass Direct Storage,https://www.cdr.fyi/supplier/interearth,https://www.inter.earth/,"-31.9472166,115.8436907","12-14 Thelma Street, Unit 11, West Perth, Western Australia 6005, AU"
Silicate,0,2 734,Enhanced Weathering,https://www.cdr.fyi/supplier/silicate,https://www.silicatecarbon.com/,"54.2787139,-8.4614839","Innovation Centre, ATU Sligo, Ash Lane, Sligo, F91 YW50, Ireland"
Alithic,0,285,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/alithic,https://alithic.com/,"40.6988592,-73.9747271","Newlab, 19 Morris Ave, Brooklyn, NY 11205, United States"
Airhive,0,943,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/airhive,https://airhive.earth/,"51.51421269999999,-0.2229671","58 Wood Lane, Scale Space, London, England W12 7RZ, GB"
Flux Carbon,0,1 682,Enhanced Weathering,https://www.cdr.fyi/supplier/flux-carbon,https://www.fluxcarbon.earth/,"-0.06993919999999999,34.8168791","Kibos, Kisumu, Kenya"
Aquarry,0,500,Ocean Alkalinity Enhancement,https://www.cdr.fyi/supplier/aquarry,https://www.aquarry.earth,"37.8395028,-122.2892278","Emeryville, CA"
Drax,0,27 000,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/drax,https://www.drax.com/,"53.73060510000001,-0.9946765","Selby, North Yorkshire YO8 8PH, GB"
Holocene,0,100 492,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/holocene,https://www.theholocene.co/,"35.944023,-83.9519338","2641 Osprey Vista Way, Knoxville TN 37920"
The Next 150,0,117 500,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/the-next-150,https://www.thenext150.com,"19.4385592,-99.2001702","Av. Ejército Nacional Mexicano 769, Amp Granada, Miguel Hidalgo, 11520 Ciudad de México, CDMX"
Vycarb,0,658,Ocean Alkalinity Enhancement,https://www.cdr.fyi/supplier/vycarb,https://www.vy-carb.com/,"40.6992184,-73.9739135","19 Morris Ave, Brooklyn NY"
44.01,0,6 023,In-situ Mineralization,https://www.cdr.fyi/supplier/44.01,https://4401.earth/,"51.51107589999999,-0.0885446","100 Cannon Street, London, GB"
EDAC Labs,0,317,Enhanced Weathering,https://www.cdr.fyi/supplier/edac-labs,https://edaclabs.com/,"39.2905023,-76.6104072","Baltimore, MD US"
Cella,0,2 542,In-situ Mineralization,https://www.cdr.fyi/supplier/cella,https://www.cellamineralstorage.com/,"40.7127753,-74.0059728","New York, New York"
Applied Carbon,0,82 530,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/applied-carbon,https://www.appliedcarbon.com/,"29.9311835,-95.52626079999999","10194 Fairbanks N Houston Rd, Houston, TX, US"
Arca,0,664,Surficial Mineralization,https://www.cdr.fyi/supplier/arca,https://arcaclimate.com,"49.2610081,-123.2491673","2366 Main Mall, Vancouver, British Columbia V6T 1Z4"
Exterra Carbon Solutions,0,1 100,Ex-situ Mineralization,https://www.cdr.fyi/supplier/exterra-carbon-solutions,https://exterracarbon.com/,"45.5018869,-73.56739189999999","Montreal, Quebec"
Deep Sky,0,10 000,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/deep-sky,https://www.deepskyclimate.com/,"45.5141256,-73.6163764","690 Av. Hartland, Outremont, QC H2V 1S2, Canada"
agriCARBON,0,6 001,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/agricarbon,https://www.microchar.eu,"49.2333363,16.5728272","Purkyňova 649/127, Medlánky, 612 00 Brno, CZ"
Elimini,0,3 130,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/elimini,https://elimini.com/,"29.776824,-95.6189412",757 N. Eldridge Parkway    Suite 800G   Houston  Texas 77079  United States of America
Spiritus,0,974,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/spiritus,https://spiritus.com/en,"35.8800364,-106.3031138","Los Alamos, NM 87544, United States"
Terradot,0,301 998,Enhanced Weathering,https://www.cdr.fyi/supplier/terradot,https://terradot.earth/,"37.7913028,-122.4023564","220 Montgomery St, San Francisco, CA 94104, USA"
Banyu Carbon,0,360,Direct Ocean Removal (DOR),https://www.cdr.fyi/supplier/banyu-carbon,https://www.banyucarbon.com/,"47.6557663,-122.3031299","4000 Mason Rd, Seattle, WA 98195, United States"
Carbon Limit,0,68,Ex-situ Mineralization,https://www.cdr.fyi/supplier/carbon-limit,https://www.carbonlimit.com/,"26.3836038,-80.10044719999999","901 NW 35th St, Boca Raton, FL 33431, USA"
Arukah,0,56 604,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/arukah,https://www.arukah.finance/,"1.278269,103.8479213","160 Robinson Rd, SBF Center, Singapore 068914"
DarkBlack Carbon,0,8,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/rpbpalmer,https://www.linkedin.com/in/rpbpalmer/,"51.3700504,-0.3651451000000001","46 High Street, Esher, England, KT10 9QY"
Sustaera,0,5 959,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/sustaera,https://www.sustaera.com/,"35.8306434,-78.78321369999999","5001 Weston Pkwy, Cary, North Carolina 27513, US"
Nellie Technologies,0,17 500,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/nellie-technologies,https://www.nellie.tech/,"52.43355949999999,-4.0173347","Penrhyn-coch, Plas Gogerddan, Aberystwyth SY23 3EE, United Kingdom"
Carbo Kollerup,0,600,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbokollerup,,,Address not found
Mission Zero,0,866,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/mission-zero,https://www.missionzero.tech/,"51.5252168,-0.05735299999999999","115 Witan Street, London E2 6GG, UK"
AtmosClear,0,6 750 000,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/atmosclear,https://atmosclear.earth/,,Address not found
Pull To Refresh,0,1,Marine Biomass Sinking,https://www.cdr.fyi/supplier/pull-to-refresh,https://www.pulltorefresh.earth,"39.0901708,-122.7963806","Lucerne, CA, USA"
The Carbon Removers,0,3 498,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/the-carbon-removers,https://thecarbonremovers.com/,"55.03453,-3.7652914","Old Military Road, Crocketford, Scotland DG2 8, GB"
Alt Carbon,0,21 851,Enhanced Weathering,https://www.cdr.fyi/supplier/alt-carbon,https://www.alt-carbon.com/,"22.4743816,88.36225429999999","240/B, 3rd floor, A.J.C. Bose Road, Kolkata, West Bengal, India"
Heimdal,0,30,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/heimdal,https://www.heimdalccu.com/,"51.5140173,-0.2226903","58 Wood Ln, London W12 7RZ, UK"
RepAir,0,199,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/repair,https://repair-carbon.com/,"32.660225,35.104606","Industrial zone, Yokne am Illit, IL"
Bio-Logical,0,12 633,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/bio-logical,https://www.bio-logical.green/,"-0.9781875,37.1335625","24CM+PC, Kabati, Kenya"
Carbon To Stone,0,1 444,Enhanced Weathering,https://www.cdr.fyi/supplier/carbon-to-stone,https://carbontostone.com/,"42.4439614,-76.5018807","Ithaca, New York, US"
Restord Ltd,0,50,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/restord,https://www.restord.earth/,"50.45552,-4.464719","Liskeard, Cornwall"
Tambora Carbon Removal,0,4 440,Enhanced Weathering,https://www.cdr.fyi/supplier/tambora,https://www.tambora.asia/,,Address not found
Capture6,0,1 063,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/capture6,https://capture6.org/,"37.8715226,-122.273042","Berkeley, CA, US"
Seaweed Generation,0,0,Marine Biomass Sinking,https://www.cdr.fyi/supplier/seaweed-generation,http://www.seaweedgeneration.com,"51.5072178,-0.1275862","London, UK"
Hafslund Celsio,0,99 998,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/hafslund-celsio,https://www.hafslund.no/no,"59.9226968,10.6793273",Hafslund AS Pb. 990 Skøyen 0247 Oslo
Towing,0,210,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/towing,https://towing.co.jp/,"35.1538553,136.9682402","Nagoya University Facilty of Incubation 1 Furocho, Chikusa-ku, Nagoya-shi, Aichi"
Inherit Carbon Solutions,0,68 000,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/inherit-carbon-solutions,https://www.inheritcarbonsolutions.com/,"59.9105064,10.7230265","Filipstad Brygge 1 0252 Oslo, Norway"
BioCirc,0,1 000,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/biocirc,https://biocirc.com/,"55.6848559,12.5942181","Amaliegade 22, 1256 København, Denmark"
Carbonity,0,36 000,Biochar Carbon Removal (BCR),https://www.cdr.fyi/supplier/carbonity,https://www.suez.com/,"50.0212524,-66.8760025","Port-Cartier, Quebec, Canada"
Silica,0,1 266,Enhanced Weathering,https://www.cdr.fyi/supplier/silica,https://www.silica.earth/,"54.2787139,-8.4614839","Innovation Centre, ATU Sligo, Ash Lane, Sligo, F91 YW50, Ireland"
CREW,0,72 492,Enhanced Weathering,https://www.cdr.fyi/supplier/crew,https://www.crewcarbon.com/,"41.308274,-72.9278835","New Haven, CT, US"
Ebb Carbon,0,1 589,Direct Ocean Removal (DOR),https://www.cdr.fyi/supplier/ebb,https://www.ebbcarbon.com/,"37.5071591,-122.2605222","San Carlos, California, US"
280 Earth,0,61 571,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/280-earth,https://www.280.earth,"37.4123764,-122.1432706","3223 Hanover Street  Suite 110  Palo Alto, CA 94304"
ARC,0,90,Bioenergy with Carbon Capture and Storage (BECCS),https://www.cdr.fyi/supplier/arc,https://a-r-c.dk/,"55.6846584,12.6206038","Vindmøllevej 6, 2300 København, Denmark"
Calcite by 8 Rivers Capital & Origen,0,278,Direct Air Carbon Capture and Storage (DACCS),https://www.cdr.fyi/supplier/calcite-origen,8rivers.com/portfolio/calcite,"35.9922752,-78.9051283","406 Blackwell St, 4th Floor, Durham, US"
CarbonBlue,0,400,Direct Ocean Removal (DOR),https://www.cdr.fyi/supplier/carbonblue,https://carbonblue.cc/,"32.7940463,34.989571","Haifa, Israel"
Travertine,0,365,Enhanced Weathering,https://www.cdr.fyi/supplier/travertine,https://www.travertinetech.com/,"40.0179902,-105.2243352","1900 55th St, Boulder, CO 80301, United States"
Gigablue,0,200 000,Direct Ocean Removal (DOR),https://www.cdr.fyi/supplier/gigablue,https://www.gigablue.co/,"40.7471509,-73.98304379999999","169 Madison Ave, New York, NY 10016, USA"
Carba,0,44 000,Biomass Direct Storage,https://www.cdr.fyi/supplier/carba,https://www.carba.com/,,
